,Comments_youtube
481,tindakan kkb selama ini membunuh dlsb emg perbuatan teror toh utk tujuan2 ber motif politik&referendum_tp lbh parah lg anda2 disebut pemberontak thdp NKRI
482,"Kalo bukan teroris terus apa?
Pejuang kemerdekaan?
Aneh"
483,"curiga nih, lembaga HAM sama KKB nih macem punya hubungan. HAM cukup sering belain KKB bahkan hanya karena perubahan status aja, tapi ketika ada aparat bahkan sipil jadi korban KKB macem diam aja gak bersuara. kek musuh dibalik selimut."
484,"Mana ada teroris punya hak ke pengadilan internasional, klo g dibelakang nya dibeking sama negara besar,,"
485,Udah lah papua ku syg kita berdamay saja sama alam  agar kita saling menyayangi dan saling mengasihi sesama anak bangsa dan sesama anak manusia i love you papua from jawa barat salam damay sesungguh nyh damay itu indah.
486,"Berat udah, blok barat ada di balik OPM blok cina ad di balik Pemerintah..
Bner kata prabowo, klo gni trus Indo bubar tiap pulau bkin negara sndri"
487,"Dari dulu kok blm tuntas"""
488,"The real teroris .. sudah mengganggu rakyat Papua yang masih cinta NKRI ..
DOA saya untuk TNI POLRI agar membasmi KKB sampai ke akarnya aamiin"
489,"punya jet tempur, rudal aja markas ya sekalian pak TNI , KKB ini udh ga ada otak"
490, nkri harga mati.
491,Teroris KKB dan OPM adalah musuh dan dibenci oleh rakyat NKRI. Berjuta juta pemuda RI di 32 provinsi siap dilatih dan dipersenjatai utk menghancurkan sampai punahteroris KKB dan OPM di Papua
492,Pemeintah sudah tepat melabeli kkb sebagai teroris....  Saya sangat setuju.......
493,KKB sikat habis
494,Yg suka bawa bom bunuh diri di gereja2 juga tolong di tangkap!!!
495,Sikatt b wenda & veronica karna sdh berapiliasi dgn terories
496,"Iya lah sudah pas OPM disebut sbg teroris, mereka membunuh, menculik, memperkosa, merusak sekolah/puskesmas/rumah ibadah"
497,"Udah lepas aja papua biar kayak timor leste sekarang terkatung katung,emang mudah mau jadi negara berdiri sendiri"
498,Kalo Uda resmi jadi teroris tunggu aja serangan baLik TNI .. Modddyyyaaarrr semua
499,Terus dianggap apa dong?
500,Semoga TNI dan polri diberi kekuwatan dan keselamatan sehingga bisa mengankan NKRI semoga Allah SWT meridhoi
501,Yg dukung mobile legend like
502,Wkwkwkwwkwk bisalaah takut diberantas.
503,"Alat OPM ngaduh ke internasional,,
membunuh sipil n jendral apa bukan teroris? Ada bukti gk usah takut.
Kejar OPM, basmi, ratakan, hancurkan, demi NKRI, Papua adalah bagian NKRI,,"
504,Teroris Kaget gak kaget gak kaget donk masa enggak... Ini baru pemerintah bombardir saja biar tak ada yang buat rusuh di NKRI tercinta 
505,Gempur terus sampai hangus .kkb udah melampau .
506,"Kaya nya, kita ini orang bodoh, yang takut untuk menegakkan kepalanya
Seperti tidak kuasa di
Tanah air kita! sendiri, ini
Baru OPM gimana andaikan negara sebelah"
507,"Jika bener mereka paham pancasila n mereka tau nkri harga mati, ya gk mungkin mereka jdi kkb/teroris lah. Ya harusnya di tuntaskan saja tu,,"
508,"ISRAEL vs Palestina
Kadron netizen: oh itu penjajahan,penjajahan harus dihapuskan.

PAPUA VS PEMERINTAH INDONESIA"
509,"oke siap! udah aba2 untuk densuss 88...kkb sudah naik statusnya menjadi teroris.. oke setuju yaa,,ini musuh yg sangat2 jelass!!!"
510,pengadilan internasional?? berarti ada asing dibelakang mereka yg pengen merongrong NKRI.. tumpass ajaa sampe kekelompok yg dibelakang mereka!!
511,"Tumpas sampai habis cmn meresahkan, kami warga indonesia siap memdukung"
512,Sesungguhnya kemerdekaan adalah hak segala bangsa 
513,"Indonesia berhasil di adu domba oleh negara lain, siapa lagi klo bukan mamarica dkk"
514,"ini adalah benalu yang jelas2 senantiasa menghancurkan nkri, munafik dan licik"
515,Marii pantang menyerah ya bpk 2 TNI DN POLRI
516,"Paling benny wenda yg mengajukan itu semua ke pbb, jdi sdh jelas benny wenda ini harus dtangkap"
517,Papua beserta rakyatnya adalah NKRI bukan KKB.
518,Basmi sampai ke akar2nya
519,"Mana yg masih membela kkb itu ber arti, dia sudah membantu teroris. Maka dia harus di tangkap .apa lagi kepala daerah nya mendukung itu juga teroris.."
520,"Lah,dia lah....lah...bocah ngakak ya allah, disuruh damai kagak mau,giliran di cap jelek ngamuk,lahh"
521,MEMANG ITU MAUNYA MEREKA....
522,"Hidup TNI polri,hancurkan teroris basmi sampai bersih....."
523,gausah ditangkap hidup hidup eksekusi ditempat aja.
524,"NKRI HARGA MATI, TERORIS ATAU APA ITU KKB PAPUA HARUS DIBERANTAS SAMPAI AKAR AKARNYA. NEGARA JANGAN SAMPAI TAKUT"
525,"Klau bukan teroris apa??guru di tembak,murid ditembak, pekerja ditembak klau bukan teroris apa.."
526,Hajar mereka yg merusak sendi sendi NKRI
527,BENTAR.. Kalian opm ngomong HAM??? Bagaimana orang orang yang kalian bunuh selama ini? Pake otak dong jangan kayak binatang
528,"Karena yg di koar"" kan dan di anggap sebagai teroris selama ini adalah/selalu islam ."
529,Indonesia Mardeka 🇲🇨🇧🇩🇲🇨🇧🇩 From Bangladesh
530,"Mau ngapain mereka k pengadilan internasional..uda membunuh org seenaknya,bikin kisruh,biadab."
531,"Kelompok komedi ini, perampas HAM menuntut HAM mereka sendiri. Ibarat bumi cuma mereka yang diatas semua orang"
532,Kok gak ada GAM yang keras seperti ditiktik komen ya 
533,"Siapa takut, Jelas2 tindakan mereka mencerminkan teroris. Gak usah gentar..."
534,setuju ke pengadilan internasional
535,"Marah krn sesama member terbunuh 

Marah karena dicap teroris ️"
536,"ACEH BISA DICARI SOLUSI
MENGAPA PAPUA TIDAK DEMIKIAN???

BAMBANG SUSATYO KETUA MPR PERNYATAAN BELIAU BUKAN SELAMATKAN NEGARA MALA BISA SEBALIKNYA."
537,"Terorisme muncul di Papua ,dg nama KKB ?"
538,"Mahfud MD; yg mensesaran rakyat, saya ulangi ya biar ga di ketawain, mengsarakan rakyat, mengsesarakan rakyat, menyengsarakan rakyat"
539,Wkwk nyari perlindungan
540,Kalo sampe berani ke pengadilan internasional berarti ada ikut campur negara lain..
541,
542,"Gua bingung HAM nya itu dimana??? Kalo mereka gak pake senjata gak ngapa ngapain terus TNI nembak baru lapor, ini mereka pegang senjata ,ngerusuh di Papua,  meresakan warga lokal, nembakin aparat, duh bingung gja"
543,waktu-nya indonesia memulai Blitzkrieg
544,"LH MEMANK KELOMPOKMU
ITU TERORIS KOK,KLO SUKA BIKIN TEROR APA ITU TIDAK TERORIS.MIKIR"
545,"Sebelum ke pengadilan internasional kkb tinggal nama semua
NKRI harga mati
Bravo TNI POLRI"
546,Kalo bukan teroris apa namanya hahahaha
547,yang goblok malah yg bikin JUDUL. memprovokasi banget. disini saya gak LIAT ADA KATA-KATA DARI KKB yang menggambarkan dia sedang MURKA.
548,"Padahal pemerintah gila gilaan bangun papua pada rezim ini.
Tetep aja gak  melek matanya."
549,"Kirim,pasukan kasi turun saja tdk papa,tapii jangan sesalii kalo ada kematian,,,,karna masing"" punya adat  isti adat."
550,Untuk negeriku Papua saudara ku yg tinggal di papua marilah berdamai salam damai 
551,"tidak ada negosiasi buat teroris opm kkb, menyerah atau tembak dijidat."
552,Musuh terbesar negara adalah melawan rakyat nya sendiri
553,"Trus kalau bukan teroris apa geh, pemberontak? Kalian itu Indonesia kenapa harus membunuh dan menculik saudara sendiri"
554,Menurut aku peryataan teroris terhadap Opm di papua belum pas
555,Prsetan dgn pengadilan internstional   basmi semua grombolan kkb
556,Ratakan...
557,membunuh warga papua sendiri yg pro NKRI
558,Apa. Bedanya teroris sama separatis?
559,Tumpas kkb yang bikin heboh bangsa
560,tekan terus mereka pak jangan kasih ruang buat bergerak mereka bergerak lagi buat mereka.
561,"Menebar teror, tapi ndak mau dibilang teroris? Dungu"
562,"Klo bkn terorist apa dong?!! Jls"" mreka meneror wrga sipil dan TNI, sdh bnyk korban mreka dari warga sipil!! Apa itu klo bkan terorist namanya!! Coba klo terorist yg berkedok agama Islam mlakukan hal itu, psti sdh langsung dianggp terorist!! "
563,"Bunuh orang sejak dulu , baru dinyatakan teroris skarang. 

Mungkin krna mreka ga pake gamis dan ga sholat di mesjid , jadi nunggu waktu yg lama dlu baru dsebut teroris."
564,Bukan TERORIS TAPI PEMBUNUH.. TIDAK ADA TEMPAT DI NKRI SEMOGA ALLAH SWT MUDAHKAN TNI POLRI MEMBERHANGUSKAN KKB
565,"Udh sikat sampai ke akar akarnya
Insyaallah masyarakat indonesia bersama pemerinth dlm hal ini"
566,"Teroris adalah orang yg melakukan sejumlah aksi pembunuhan diberbagai tempat dan negara,,, target nya adalah dalam jumlah masal,,,
 kalo pemberontak orang yg melakukan aksi kekerasan disatu wilayah tanpa mengikuti peraturan negara dan hukum dgn tujuan ingin merdeka. Kalo ada yg salah tolong dikoreksi,,,, supaya masyarakat paham mana yg teroris mana yg pemberontak."
567,"Teroris ae kgk bunuh jendral,lah elu udah bunuh jendral gak mau di cap terosis.lawak lu"
568,Pasti di bantu Australia
569,"mau ngadu ke PBB,tdk akan diberhasil,jika di bandingkan hasil kerja nyata perintah JOKOWI sangat jelas membangun disegala bidang utk masyarakat PAPUA."
570,Uji materi kepengadilan internasional..???emang siapa kkb ini..??.. Bapak Tni Polri.. Sikat aja mereka.. Makin cepat makin baik.. Bravo tni polri..
571,"Kenapa gx dari dulu di cap teroris ini kelompok KKB, Apakah Pemerintah Baru BUKA MATA DAN BUKA NALAR PIKIRANNYA?"
572,"Wah udah ketekan bawa bawa internasional,
Mau dibangun jembatan buat ngelancarin Mobilisasi pekerjanya malah dibunuh kkb ntar mau bangun Infrastructure juga paling dibunuh lagi ama KKB dan mereka ngeluh pembangunan gak jalan? Disini yang gak jalan otak mereka atau apa"
573,Basmi semua yang mengganggu kedaulatan NKRI
574,"kelamaan, kasih bom nuklir aja markas KKB biar rata sama tanahnya"
575,"Benny wenda guling guling di comberan, pion pion nya mau dihabisin..."
576,LMS internasional yg Danai KKB selama ini...akan dicap penyokong teroris dunia.......huuuuuuuuaaaaa muantappppp
577,Pasti ada negara lain dalang dibalik semua ini
578,Semangat sebentar lagi idul fitri gaes
579,"Tumpas sparatis smpai akar""a,,,,,masalah HAM blakangan,,,,,"
580,"Sikat habis sampai akar2nya, bravo TNI-POLRI, jayalah negeriku Indonesia"
581,"Jngn kasi ampun itu KKB,bumi hanguskan dri NKRI,"
582,"Ada yg iri dg persatuan indonesia..  

Munculnya KKB di danai oleh yg iri.. "
583,"ni judulnya mustinya pengumuman dri pak mahfud, klik bait dah"
584,🇮🇩
585,"Ratakan semuaa gemes bgt liat nya ngebunuh orang kayak ngebunuh nyamuk enteng bgt ,yang guru yg siswa dll gaa mikir dasar"
586,KKB memang cocok di beri label teroris.karena mereka kerap melakukan intimidasi kepada masyarakat Papua agar mau mendukung upaya ingin memerdekakan diri. Klo mereka nggak mau ikut mereka tembak.dan menuduh mata mata Indonesia.
587,Kkb harus dibrantas sampai akarnya...agar tidak meresahkan warga papua lainnya...
588,Yang penting jangan Sampek ada si dia nanti digugat ke internasional+diembargo
589,Mungkin papua tidak suka dgn pemerintah indo karna indo sudah tidk aman  yg benar bisa salah yg salah bisa benar gara2 soal uang dan jbatan koruptor merajalela
590,"Hahaha..mmg gt maunya mrk.
SIKAT TERUS jgn mundur ! 
Kalau perlu,bikin pendukung mrk ""syok"" sm kita !🇮🇩"
591,Bantaiii
592,"Ah telat baru sekarang dibilang teroris, orang awam pun tau KKB dr dlu memang Teroris sejati"
593,"Dikasih cuan, dikasih senjata, dikasih makan, disuruh perang.. tolol ga tuh"
594,"Udah mulai sekarang pemerintah banned berita2 teroris papua, makin besar kepala mereka di Uploade."
595,"Anggap aja angin lalu pernyataan mereka (kkb), tumpas smpai habis."
596,"Lha terus apa klo bukan teroris??
Ulama yg lg berjihad??"
597,saatnya negara bertindak  bumi hanguskan KKb....kerahkan saja alat alat berat dan pesawat pem bom...biar kkb ga ada di bumi pertiwi ini...
598,Btw warga sipil boleh ga ngebantai kkb ?
599,menteri mahmud klaim 92% masyarakat papua pro NKRI jadi ayo.... NKRI buat referendum di papua biar terbukti. kwkwkw........
600,Di embargo pun indonesia tetap mampu memenuhi kebutuhan sendiri.jadi tak ada kata lain selain TUMPAS sampai ke akar2nya.
601,Hilangkan ham untuk orang yg sudah mengganggu keamanan negara. Kasih para TNI polri kita yg menjaga negara dan masih berfikir untuk bertindak karena ham . Sudah banyak korban untuk TNI polri kita .dia juga punya anak istri meninggalkan keluarga demi tugas negara. Orang atau ognum dari dalam maupun luar negeri yg mengganggu keamanan negara adalah musuh negara.
602,Memang teroris kok. Silahkan lah ke makamah internasional. Ilmu mu gk ad
603,setelah ratusan korban tewas baru sekarang di cap teroris... harus nunggu perwira tinggi nya jadi korban dulu kah? harusnya KKB Papua disikat habis dari dulu..dimusnahkan samoai ke akarnya jangan takut sama HAM....
604,"ibarat ada org g punya kerjaan trus diem mulu drumah, di bilang nganggur marah!!"
605,"Semoga Alloh memudahkan TNI,POLRI menjalankan tugasnya,amiin"
606,Sikat habis itu OPM
607,"Teroris yg Sebenarnya, sdh banyak korban Sipil dan Aparat"
608,Kebanyakan teori.... Serbu saja tanpa direkam.... Operasi senyap.... Tangkap hilangkan
609,KKB itu terororis pengacau RI arus segra di musnahkan kok ga terima di katakan teroris
610,"Guru di bunuh,anak sekolah di bunuh,tukang ojek di bunuh,trus nama apa yg cocok tuk kkb srperti itu,,klo ada negara yg mendukung tindakan itu wahh parahh,,mo cari bantuhan pengacara dr negara mana,,negara mana yg bersedia menjadi pengacara nya"
611,"Lah di kira orang bakal sebego diri lu KKB ,  ELU  BERADA DI BAWAH NEGARA KEDAULATAN REPUBLIK INDONESIA. SEGALA SESUATU YANG MENGANCAM KEDAULATAN NEGARA AKAN DI HILANGKAN SIAP SIAP MERDEKA"
612,YG MMBUNUH 6 LASKAR FPI LAYAK JUGA DISEBUT TERORIS
613,Mungkin Papua lelah . lahannya di garap .keuntungan nya d Raup pemerintah.
614,Masalah  Papua nggak selesai selesai...nyawa semakin banyak yg tewas.......apakah mau di referendum aja???
615,Ya Allah lindungilah TNI kami yg membela Indonesia tercinta....menangkan sehatkan selamatkan.... Biar rakyat tenang....aminnnnn
616,kami orang papua tidak sama ras dengan indonesia ras melayu kami tetap pisah dari ras melayu itu bahaya klo kami di satukan nanti ALLAH akan turun kan murka nya
617,"Jangan takut, Rakyat sepenuhnya mendukung jangan jadikan papua timtim ke2,tolak tegas misi asing di papua..jangan kompromi dengan teroris KKB,mereka bunuh TNI.POLRI dan masyarakat sipil ,bahkan putra terbaik perwira tinggi harus wafat oleh teroris KKB.."
618,"Basmi KKB TERORIS di PAPUA sampai akar akarnya,bereskan dihutan belantara itu pak!"
619,"Kok ngerti smpk pengadilan internasional,pasti ada org yg intelek di belakangnya ini"
620,Saya mendoakan agar para tentara berhasil dalam melakukan operasi militer
621,Memang fakta itu pahit kawan...
622,"Otak nya sering muter muter kali... 
Di cap teroris merasa tersinggung,, merasa kelompok pembela kebenaran.. Tapi kerjaan tiap hari membantai warga sipil, guru dll,, menjarah, membakar rumah2 warga,, itu namanya apa ?? Apa bedanya dgn teroris. Kalau gk mau disebut teroris ya jadi orang baik baik. Kalau ada yg mau di tuntut dari negri ini ya melalui jalur hukum yg benar."
623,Turunkan densus 88
624,"kkb aja marah disebut teroris padahal sudah jelas mereka melakukan teror, apalagi umat islam ga ngapa2in dibilang teroris"
625,"Selain pergerakan TNI/POLRI, pemerintah juga jangan kendor lobby di luar negeri terutama PBB. Agar Papua tetap utuh menjadi bagian NKRI.  Selamat Berjuang TNI/POLRI menjaga keutuhan kedaulatan Negara kita tercinta. Semoga Allah melindungi bangsa dan negara kita semua....amin"
626,Baru nyadar
627,"Basmi tuntas sampai ke akar""nya"
628,Ratakan saja jgan kasih ksempatan
629,Jadi mau disebut apa?sudah jelas melakukan kejahatan
630,"Gunakan operasi tersembunyi, basmi kkb secara diam2, jangan sampe ada media yg tahu.."
631,"Disayangi mau lepas, kalau lepas salah sendiri, pak jokowi sudah peduli loh sama papua sampai rela mengurus daerah sana"
632,Ini baru tindakan yang tegas dari pemerintah. Terus musnahkan teroris papua dari nkri. Karena teroris inilah yang bikin papua tidak aman dan masyarakat tidak bisa bekerja dan membangun papua
633,Penghina bangsa nkri dibilang penjajah bagaimana?? Pengadilan international buka matamu.. apa perlu 250 juta wni protes kenpengadilan international ???
634,Tumpas segera opm kkb itu. Lama banget nggak selesai2. Awas kalo sampek hal serupa dgn timor leste atau sperti dgn cina
635,"Jangan dibiarkan lagi,belajar dari ambalat&timor timur,terus berantas sampai akar""""nya"
636,"Memang pantes disebut TERORIS , karna kkb jelas menentang negara , sudah memakan banyak korban , bikin resah menggagu masyarakat .."
637,"Pelaku merasa jadi korban. Kocak...
Masyarakat papua sendiri aja resah kok dengan adanya KKB"
638,Ya jelas kalian kalah donk kkb ..wong tukang ojek di tembak sekolah di bakar guru guru juga di tembak ..  yang melanggar itu yang mana  coba
639,"Menurut sy yg  banyak melakukan kekerasan itu hanya aparat setiap ada komflik,klo opm tdk mungkin krn opm banyak saudara nya di Papua,krn sy pernah ngalami nya di Acèh,banyak pembunuhan massal yg di lakukan oleh aparat tp d tutup oleh wartawan d tulis otk pd surat kabar..."
640,"Tugas pemerintah pusat mencegah kasus kriminal, perampokan dan pembunuhan di NKRI."
641,Ngapain juga media dengerin mreka
642,"Opm bukan teroris ....tapi segerombolan orang yg lembut dan sopan santun ..... Prilakunya sangat terpuji....maka minta uji materi....
Orang orang opm sangat penuh kasih dalam menyabut nyawa orang lain ... Seperti malaikat penyabut nyawa....."
643,h dibom abis tu kkb
644,"Lah tiba di counter balik malah takut
Kenak mental kah manis"
645,Nah kan yang jadi senjata cuma HAM & pengadilan internasional ... Panik ?? 
646,Kkb berjumlah dikit masa kalah prajurit Indonesia tinggal di bombardir aja pake pesawat tempur
647,"Membelot,. Membunuh, memperkosa, membakar, menyakiti saudara sendiri tp gak mau di sebut teroris jangan gila dong KKB maunya apa??? Ngajak perang diladenin gak Terima, sana ke internasional siapa yg mau bela klo udah di cap sbgai kkb dan terorie"
648,"habis teroris hajar koruptor donk, uda kaya semut koruptor dimana2"
649,"Saya penasaran apakah kkb tidak pernah liat yutube? Atau setidaknya komentar sedikit di yutube..
Mereka jg punya smartphone. Apa cuma untuk record video saja?
Kita tunggu komentar kalian"
650,"Berani lapor ke Mahkamah Internasional, maka Negara lain yg akan dicap Musuh Negara Indonesia."
651,"Tumpas habis kelompok kkb sampai ke akar2nya jgn ksh ampun..hidup TNI,kami dukung TNI..NKRI harga mati."
652,Juru bicaranya harus di tangkap karna membela teroris di NKRI tangkap dan habisi karna musuh terbesar kita adalah  dari dalam diri kita habisi mereka dan tidak boleh ada di NKRI
653,Bagus keputusan pemerintah setuju
654,"Siap"" Binasa KKB.kau yang mulai kau yg harus TNI akhiri...

Sudah d kasih hati.mau minta yg laen.dorr saja TNI"
655,ayoo tni para pejuang nkri... sikat habiz pembrontak negri ini... Alloh bersama kalian.. muga berjaya selalu.. aamiin..
656,Ya gimana ya rada ngakak sih
657,Semoga kelompok teroris papua bisa dimusnahkan..dan masyarakat papua bisa hidup tenang terhindar dari kelompok teroris yg membuat kerusuhan yg membuat rasa takut masyarakat..
658,"Menyerang dan membunuh rakyat
Memang teroris, klu ingin merdeka kenapa harus rakyat di bunuh dan jd  sasaran."
659,"MUSNAHKAN KKB, PAPUA BUKAN TERORIS, TAPI KKB YANG TERORIS,, GARIS BESAR NYA ITU! JADI JANGAN ANGGAPAN SEMUA PAPUA TERORIS. CUMAN KKB OPM YANG TERORIS."
660,Pengadilan internasional tuh mutus sengketa negara dg negara lah lu negara aja ga diakui dan ga jelas mau bawa ke pengadilan internasional 
661,KKB ketakutan pasti. hihihi
662,"YG BILANG SY ️ PAPUA.
OMONG KOSONG SEMUA PENIPU, DI MULUT SAJA. 76 TAHUN PSIKOLOGI PAPUA TERTEKAN.
MASIH KURANG KA.???
ISLAM, KRISTEN, HINDU,BUDDHA KM PAPUA AYOO BERJUANG..️"
663,Yg mengganggu NKRI adalah teroris  rakyat yg MENILAI FAHAM!¡
664,Teroris lah nama nya melakukan kekerasan kepada masyarakat dan melakukan tindak kriminal
665,Tumpas habis kkb!!
666,KKB ...katakan kami ini bodoh
667,"Kkb minta keadilan ke PBB mengaca ke Timor Timur,,,"
668,"Kekerasan dilawan dengan kekerasan, ya mental"
669,"Lucunya OPM ini?? NKRI adalah negara berdaulat yang diakui oleh Internasional. Trus mereka ada oknum atau sebutlah segelintir orang yang tidak puas terhadap NKRI dan menuntut kemerdekaan dengan cara melakukan teror terhadap TNI, Polisi dan juga masyarakat umum. Trus ga mau dicap Teroris dan mau bawa ke Mahkamah Internasional??? Kok Dagelan ya denger nya "
670,Jangan sampai lambat ..gerak cepat
671,Hancurkan lenyapkan KKB
672,Ganggu NKRI  SIKAT AJA SAMPAI AKARNYA .ASLINYA KKB  ALIAS T E R O R I S DALANG DARI LUAR
673,Ngga ada niatan menjadi simpatisan tapi normal Kelompok separatis ini muncul untuk mendapatkan kebebasan. Mungkin sebagian dari mereka tercipta karena lelah hidup dalam masa kemiskinan dan hanya jadi tempat penghasil uang tanpa merasakan nikmat yg seharusnya menjadi milik mereka. 
674,"Justru yang bikin heran itu... KENAPA BARU SEKARANG DICAP TERORIS ??? KEMAREN2 DICAP APAAN ??? PENDEKAR???

Lucu banget sumpah. Padahal yg cewek bawa2 airsoftgun kemaren langsung dicap teroris loh. Ini yg udah bunuh2in banyak orang baru sekarang?"
675,"sikat habis jangan kasih ampun sempe ke akar"" nya bravo tni polri nkri harga mati"
676,Org pemerintahnya jga baru nyadar kkb itu teroris soalnya kmren2 taroris itu yg pake kopiah doang *lucunya negeri inih
677,itu PKI suka mfitna dan menuduh orang /kelompok lain teroris pdahal dia sendri yg mrongrong Negara.pling pancasilais phal mrka  PKI
678,Banser dan segenap tumpah darah siap berangkat
679,"KKB sangat di manjakan. Dari tahun ke tahun ada negosiasi agar balik ke pangkuan NKRI, dan hidup lebih layak, tanpa ada hukuman. Walaupun dari tahun ke tahun pasti ada pembunuhan maupun warga sipil , aparat, pekerja pembungan jalan trans papua.  BRANTAS HABIS TERORIS. NKRI HARGA MATI🇮🇩"
680,"Klo pemerintah kurang personel ataupun butuh sesuatu, datang aja ke tempat tempat pengajian Salaf, InsyaAllah kami siap membantu.."
681,"Apa calon calon nih bagian timur Indonesia bakalan jadi negara tersendiri dengan ideologi sendiri sendiri mungkin aja, ini menurut gw ya soalnya dari pemberontak KKB bisa jadi dia gak mau jadi warga negara Indonesia mungkin bakalan ngebentuk negara sendiri tapi gak tau, maaf kalo ada yg salah tolong dikoreksi"
682,"Pengadilan Internasional? 
ICJ? ICJ itu court antar negara, cuma negara yg bisa buat pengaduan dan ga bakal dengerin kelompok kyk KKB
ICC? Itu pengadilan untuk individu, emg Indonesia individu? Lagian nkri juga ngga ratify statua roma ICC"
683,Emang teroris..  Membunuh menggunakan senjata ..  Senjata dari mna?
684,"Intinya kamu KKB ingin memecah belah rakyat indo, kmu ingin merdeka kan ingin seperti timor leste"
685,"Lihat tingkat kriminal di negara tetangganya, semakin yakin bahwa jika mereka lepas makin ga karuan nih provinsi."
686,Sedih lihat nya itu aja jawab nya
687,Lah kalian mau di bilang pahlawan??? Otak mana otak
688,hancurkn kkb sampai akarnya
689,Siapa yg back up KKB tolong di selidiki
690,"Pengadilan international,,tidak semudah itu ferguso anda harus daftar dulu ke sunda enfire,baru pengajuan anda bisa dikabulkan pengadilan international"
691,Memang betul...krn sdh jelas dan terbukti..yg telah membunuh rakyat sipil...
692,"Kepala pemerintah daerah irian jaya Bdh,isi kepala nya batu"
693,Mulai takut nih ya kkb nya hahaha
694,Kalo gak mau di sebut teroris. Jgn ngebunuh . lu kira nyawa itu mainan.
695,"Tepat klo sudah di katakan terirus,mengagu para mace dan pace beraktifitas."
696,Pemberontak dan pembuat onar memang pantas di panggil teroris
697,Tangkap pentolanya
698,buktikan 92% ms papua nkri dengan referendum
699,"Ayo duel dulu, pengadilan internasional urusan belakangan ...."
700,"Mantapp pak ...Tak Ada kata ampuunn sudah  ...
Brantaassss!!!!"
701,Maaf itu masalahnya karna apa ya kok rame? 
702,"Mereka meneror,
Di cap teroris kok ngamok."
703,Ojek gak salah di bunuh gitu gak mau di cap teroris ?
704,"Gpp tumpas saja para teroris kkb papua yg rata"" kristen itu, karena telah meneror masyarakat.."
705,"Orang di perlakukan sebagai Manusia yg ber adab  seperti WNI yg lainnya , TAPI mereka menolak .
Mereka LEBIH memilih menteror masyarakat Dengan ke kerasan .
TINDAKAN TEGAS PANTAS DI berikan kepada mereka ."
706,"Jangan diajak runding,habisi aja penghianat bangsa,mereka tdk menghargai leluhur mereka sendiri apalagi ke orng lain,hrs nya mengerti sejarah,OPM dulu adalah Organisasi papua merdeka yg merdeka dari Belanda,bukan  merdeka dari indonesia"
707,"Setuju klo d anggap teroris,tdk berperikemanusiaan Krn membunuh masyarakat kecil."
708,"Udah bunuh dulu semua KKB jangan hiraukan yg lain dulu yang penting papua aman damai dn tentram gak ada korban lagi
Luar negri jangan ada yang boleh ikut campur urusan dalam negri"
709,Mau ke mahkamah internasional...! Emang lu siapa.?
710,"semoga para pejuang NKRI selalu ada  dalam lindungan ALLAH SWT AMIIN YAA ROBBAL ALAMIINN,,"
711,Enak banget kkb ngeclaim mau merdeka atau misah dari indonesia...dia gak tau apa dulu pejuang lelah memerdekakan negeri ini....
712,YO NGUNU LO PAK.....
713,"Sekali teroris tetap teroris kecuali mau bertaubat dan meninggalkan aktifitas terorisme, teroris itu tidak ada kaitannya dg Agama, karena semua Agama didunia tidak ada yg mengajarkan terorisme."
714,Kasih paham
715,"Bagi pejabat yang ketahuan mendanai pemberontak ,harus dihukum mati bila perlu gantung mereka di MONAS."
716,Hancurkan KKB  jangan ada toleransi LG
717,Teroris Kelompok KKB haaaaa
718,"SAMPAI KAPAN HAL SPRTI INI AKAN SLESAI.PERCUMA PUNYA SENJATA CANGGIH KALAU TIDAK BS DIPERGUNAKAN,INI MALAH MAKIN BNYAK KORBAN..PERMAINAN PBB SUNGGUH HEBAT BARENG AUSTRALIA TOP.SHINGGA INDONESIA NGIKUTIN TERUS PERATURAN YG DIBERIKAN DARI PBB"
719,"Gak ada hubungan nya ama internasional,,ini negara indionesia &mereka melakukan gerakan,pembunuhan,pembataian,&pembakaran,di indonesia,merongrong,meneror NKRI,,Tidak ada pilihan,hancurkan,bakar & musnahkan mereka"
720,"Makanya jangan cuma menggertak,segera diaction n bumi hanguskan saja orang² yg membelot n mengkhianati NKRI"
721,Klo ga terima dibilang teroris ngapain kau tembak aparat yg tugas SETAN
722,"Bantai aja KKB 
Lama amat"
723,Bisa saja malah jadi menyerahkan diri
724,"Habisi saja tdk ad perlindungan Hukum utk terroris kiri / kanan

Saat kkb melakukan pembantaian pembakaran pemerkosaan dg keji
Saat itu HAM kemana..?"
725,"Kalau dulu ada Maaf bila mau sadar,..
Tapi kalau sudah di Kategorikan Teroris
Tiada Maaf lagi! 
Tumpas Sampai Tuntas!"
726,Wkwk malah baper
727,Daro dulu saja katagorikan TERORIS
728,Mngkn kelompok ini kecewa atas pemerintah indonesia krn  alamnya di kenal sangat kaya tp masyarakat di sana tetep aj miskin...cob berunding dulu it lbh baik...
729,"Macam kalian yg tau2 nembakin post tentara ga terima dibilang teroris, mau ke pengadilan internasional. Jumlah kalian berapa banyak sih dibanding masyarakat yang menerima indonesia disana?."
730,"Nah ini baru bener, mereka bukan KKB mereka TERORIS bersenjata."
731,"Basmi Habis KKB !!!!!!!!!.
  TNI & POLRI JANGAN ADA LAGI YG JADI KORBAN KKB."
